series,series_code,country_name,country_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Latin America & Caribbean,LCN,12.36567,12.67304,12.78736,12.98575,12.78573,12.9111,13.4654,13.4794,13.71017,13.76644,14.34162,14.74437,15.16728,15.45214,15.88179,16.48424,16.72165,17.27573,19.52645,19.83778,20.13609,20.28464,20.46413,20.50095
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Europe & Central Asia,ECS,6.14087,6.04408,6.05125,6.16086,6.13291,6.31361,6.27208,6.28785,6.18149,6.22609,6.37129,6.2881,6.47193,6.53419,6.57826,6.60557,6.63778,6.59334,7.67203,8.13866,8.47057,8.82357,9.22517,9.18642
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0.1862,0.19434,0.2288,0.25766,0.29098,0.33169,0.38028,0.44525,0.50083,0.56726,0.80321,0.86672,0.97142,1.09435,1.19031,1.27655,1.34337,1.39921,1.78064,1.93454,2.0922,2.08296,2.20325,2.24156
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Central Europe and the Baltics,CEB,0.25643,0.38286,0.44547,0.54852,0.63571,0.72557,0.81295,0.87611,0.96538,1.04821,1.39542,1.49091,1.68241,1.84523,1.98985,2.17953,2.39625,2.56362,3.92642,4.23445,4.49989,4.83516,5.13356,5.14105
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,East Asia & Pacific,EAS,3.61206,3.55051,3.58485,3.7002,3.83609,3.96708,4.05517,4.30607,4.50165,4.38488,5.43094,5.52976,5.87242,6.07755,6.71149,6.69598,7.05155,7.36326,8.7014,9.21682,9.54161,9.79772,10.26678,10.49246
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Euro area,EMU,16.54419,16.42961,16.36317,16.60061,16.49895,16.84649,16.52418,16.17282,15.92522,15.68819,15.27234,15.06056,14.85268,14.52196,14.22092,14.06763,13.91097,13.71575,13.72246,13.74254,13.84796,13.85812,13.90687,13.90114
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,Middle East & North Africa (excluding high income),MNA,3.21083,3.37694,3.51807,3.80412,3.781,4.24882,4.36796,4.44952,4.59623,4.81742,5.28243,5.28147,5.52678,5.91,6.20416,6.46786,6.76176,6.96391,7.79354,8.43217,8.60373,8.98447,9.07343,9.14806
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,North America,NAC,9.79638,9.82641,9.86936,9.3016,11.05812,10.88486,10.92105,10.95664,11.1273,11.12322,10.39446,9.91307,9.7091,9.50194,9.64778,9.30166,9.45998,8.67316,7.90802,8.12164,8.67417,8.75037,8.56825,8.57023
Percentage of enrolment in primary education in private institutions (%),SE.PRM.PRIV.ZS,OECD members,OED,8.77663,8.89742,8.97212,9.02715,9.54636,9.74834,9.81455,9.90237,9.94111,9.95706,9.82346,9.75301,9.83086,9.83144,9.93299,9.90176,9.91915,9.80643,10.44079,10.82113,11.23001,11.56659,11.83364,11.78776
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Latin America & Caribbean,LCN,23.63769,23.5074,23.31254,23.80634,24.45967,23.53943,23.23356,23.23868,22.85198,22.83743,22.8154,23.32824,24.1412,24.78494,25.22431,24.86553,24.92272,25.21849,26.21503,26.08557,25.84131,25.13034,25.21369,25.31149
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Europe & Central Asia,ECS,12.98248,13.40488,14.72569,16.24152,16.20119,16.51529,16.41767,16.89034,17.22255,17.44555,17.86009,17.92014,18.52878,18.97808,18.92057,18.6646,18.23072,17.71952,17.85733,19.45049,19.71348,19.83387,20.2609,20.30648
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0.46304,0.50487,2.1662,3.66153,3.55341,3.43326,3.36118,3.24156,3.08568,2.98104,2.73745,2.70459,3.02114,3.36268,3.29363,3.22695,3.23123,3.28564,4.35588,5.52034,5.99252,6.33956,6.96134,7.16802
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Central Europe and the Baltics,CEB,0.05877,0.11828,0.50167,0.85491,1.07696,1.31217,1.6421,1.91027,1.99942,2.18891,3.12364,3.37692,3.87073,4.20344,4.69368,5.14653,5.80609,6.49646,10.47411,11.31933,12.15694,13.0325,13.8567,13.85248
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,East Asia & Pacific,EAS,17.36871,16.03849,15.18783,16.09358,17.75674,19.49763,21.89786,25.24362,28.07794,30.45635,37.42933,38.88437,41.28195,42.89636,45.63266,47.38487,48.52187,49.74461,52.07729,52.95812,54.02532,54.67745,54.92736,55.41836
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Euro area,EMU,35.68838,36.00739,35.99122,35.79342,35.34742,34.98264,33.37664,33.05519,33.11796,32.9753,33.41386,33.08749,33.07792,33.15959,33.61837,33.626,33.34427,33.56767,33.19074,33.20322,33.61313,34.20305,34.44714,34.77547
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,Middle East & North Africa (excluding high income),MNA,75.60695,76.03909,78.5695,78.85333,78.50288,77.72883,76.76409,74.76331,72.60929,70.24242,61.39225,58.73033,55.52501,55.27849,53.12445,51.87827,47.76562,46.79438,55.46482,55.10017,53.78027,53.97499,53.1175,52.26419
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,North America,NAC,35.55999,34.85674,22.10831,22.82526,32.87006,32.80616,33.15327,34.33097,34.65042,34.98989,36.05901,36.43759,36.82522,37.19549,37.55898,37.90787,38.25468,38.59769,39.94195,39.42045,39.72306,40.17551,39.33741,39.33079
Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,OECD members,OED,32.54111,32.83312,29.02639,29.10152,31.92642,31.6897,31.31113,32.11276,32.31356,32.42666,32.88306,33.16265,33.54524,34.08121,34.24838,34.0979,33.87117,34.70384,35.93127,36.71201,37.17196,37.34546,37.41548,36.90812
"Gross intake ratio to the last grade of lower secondary general education, male (%)",SE.SEC.CMPT.LO.MA.ZS,Latin America & Caribbean,LCN,59.65681,59.80399,60.1869,61.13534,61.91795,63.24888,64.92276,65.78857,66.2558,67.28504,70.49853,71.47595,72.45012,72.42225,72.39542,72.93323,74.217,75.09731,75.50294,76.9368,77.55934,77.623,77.16605,77.2791
"Gross intake ratio to the last grade of lower secondary general education, male (%)",SE.SEC.CMPT.LO.MA.ZS,Europe & Central Asia,ECS,78.47591,79.13511,79.7452,79.88172,80.63559,81.94611,82.88568,83.58205,84.373,84.52991,88.37772,87.87556,88.51027,88.61996,89.01399,88.68325,86.72693,91.82662,93.59278,93.45288,93.32018,93.49938,94.23015,94.427
"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,Latin America & Caribbean,LCN,74.63875,75.30058,75.13862,75.7035,76.55762,78.11757,78.70129,80.10494,81.48103,82.62631,82.17106,83.53573,83.76703,83.50389,82.46301,83.48014,84.37698,85.94627,91.26868,92.13196,93.27724,93.81182,95.47261,95.84131
