;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;Bank deposit(target);n_marital;b_default;b_housing;b_loan;n_poutcome;b_deposit
0;95;retired;divorced;primary;no;2282.0;no;no;telephone;21.0;apr;207.0;17.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
1;95;retired;married;secondary;no;0.0;no;no;telephone;1.0;oct;215.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
2;94;retired;divorced;secondary;no;1234.0;no;no;cellular;3.0;mar;212.0;1.0;-1.0;0.0;unknown;no;-1;False;False;False;0;False
3;93;retired;married;unknown;no;775.0;no;no;cellular;22.0;jul;860.0;2.0;177.0;7.0;success;yes;1;False;False;False;1;True
4;93;retired;married;unknown;no;775.0;no;no;cellular;4.0;aug;476.0;2.0;13.0;9.0;success;yes;1;False;False;False;1;True
5;92;retired;married;unknown;no;775.0;no;no;cellular;22.0;oct;313.0;3.0;-1.0;0.0;unknown;yes;1;False;False;False;0;True
6;92;retired;married;unknown;no;775.0;no;no;cellular;26.0;jan;164.0;4.0;96.0;3.0;success;yes;1;False;False;False;1;True
7;90;retired;divorced;secondary;no;1.0;no;no;cellular;13.0;feb;152.0;3.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
8;90;retired;divorced;primary;no;712.0;no;no;telephone;3.0;mar;557.0;1.0;-1.0;0.0;unknown;yes;-1;False;False;False;0;True
9;89;retired;married;tertiary;no;553.0;no;no;telephone;19.0;aug;2027.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
10;89;retired;divorced;primary;no;1323.0;no;no;telephone;29.0;dec;207.0;4.0;189.0;1.0;other;no;-1;False;False;False;0;False
11;89;retired;married;primary;no;0.0;no;no;telephone;27.0;sep;157.0;5.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
12;88;retired;married;primary;no;648.0;no;no;telephone;3.0;sep;318.0;1.0;-1.0;0.0;unknown;no;1;False;False;False;0;False
