Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,83.72098,74.10746,85.15321,89.32584,87.60902,92.44123,4.133333333333333,4.966666666666666,74.85378,84.32584,85.81917,88.39153,83.96,86.46117
2007,85.53651,78.99954,87.29113,90.655,89.62257,96.96819,4.0,5.633333333333333,79.14828,86.27583,87.20417000000002,90.56063,87.03083,88.87067
2008,88.28731999999998,87.18575,90.84034000000001,93.205,91.9782,100.9054,4.088888888888889,5.466666666666666,87.79591999999998,89.21083,89.3725,92.90479999999998,91.94583,92.49245
2009,88.73433,87.11739,90.84034000000001,93.28667,92.26585,96.38673999999999,4.0,4.833333333333333,91.70551,89.53917,90.43584,92.12856,92.71750000000002,92.22625
2010,90.34355,89.70656000000001,91.91602,94.71499999999999,93.28429,95.49795999999999,4.166666666666667,4.666666666666667,92.91531000000002,91.575,91.58916,93.42072,94.3875,93.88619999999999
2011,93.31277,94.17565,95.05661000000002,96.71499999999999,95.2201,97.94003,4.166666666666667,4.55,96.75297,94.69833,93.73332999999998,96.83339,96.08916,96.88689
2012,95.63223,97.87996,97.72611,98.605,97.13258,99.6013,4.216666666666667,4.716666666666666,99.74261,97.21999999999998,96.035,99.51891,98.585,99.25687
2013,97.54501999999998,100.6016,99.17079,99.45666999999999,98.59416,100.108,4.3,4.683333333333334,100.7874,98.90583,98.4425,99.79201,100.3292,100.65500000000002
2014,99.1114,100.4948,100.2034,99.96166999999998,99.48821,100.2907,4.433333333333334,4.666666666666667,100.892,99.52749999999999,99.40334,99.51443,100.5292,100.5029
2015,100.0,100.0,99.995,99.99917,100.0,100.0,4.666666666666667,4.7,99.99998999999998,100.0,100.0,100.0,100.00079999999998,100.0
2016,100.8916,100.1487,100.3517,100.1825,100.4917,100.0083,4.433333333333334,4.8999999999999995,100.9055,100.2908,100.31670000000001,100.6074,99.94583,99.7974
2017,102.9914,103.57099999999998,101.1083,101.2167,102.00870000000002,100.3489,4.5,5.066666666666666,104.6621,102.0267,101.7025,101.9843,101.37420000000002,101.7495
2018,105.0496,107.13,102.2042,103.08999999999999,103.7756,100.83890000000001,4.533333333333333,4.933333333333334,107.4858,103.5858,103.435,102.9978,103.1367,103.4538
2019,106.6578,109.5697,103.25079999999998,104.2325,105.2759,3.5679487179487177,4.27991452991453,4.7,109.9951,105.3917,106.1592,103.34610000000002,104.81829999999998,104.1775
2020,95.55817928571427,4.1154761904761905,103.5508,3.417222222222222,3.558611111111111,3.5679487179487177,4.27991452991453,5.033333333333333,96.26016214285714,95.89809500000001,107.51,97.28575571428573,96.77500357142856,97.17261428571427
