Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,22550.0,5440.333333333333,21340.333333333332,25867.097222222223,24673.899999999998,27500.833333333332,19037.0,4288.5,4168.5,37256.333333333336,23331.0,10812.333333333334,12011.166666666666,14769.333333333334
2007,23782.666666666668,6430.666666666667,22741.333333333332,25867.097222222223,24673.899999999998,28582.333333333332,19623.0,6027.333333333333,5319.833333333333,38430.166666666664,25040.5,11263.5,13023.166666666666,15668.0
2008,24774.333333333332,7345.166666666667,23952.666666666668,24228.0,22098.8,27545.166666666668,19285.444444444445,6894.5,6231.333333333333,40022.0,25419.5,11427.333333333334,14266.5,18899.666666666668
2009,25957.0,6982.5,24445.666666666668,24650.5,23516.5,26054.333333333332,20167.833333333332,5956.833333333333,5430.5,40797.833333333336,25672.5,11586.333333333334,13940.5,18857.333333333332
2010,26321.333333333332,6743.333333333333,25053.166666666668,25187.0,24031.5,24936.5,20172.5,5654.166666666667,4938.5,41105.333333333336,24960.0,11572.833333333334,14176.5,18085.0
2011,26973.666666666668,7221.5,26102.5,25573.0,23173.0,24436.666666666668,20393.666666666668,5931.166666666667,5471.166666666667,42273.666666666664,24916.666666666668,11300.166666666666,14236.166666666666,17992.0
2012,26850.0,7977.0,27029.833333333332,25766.666666666668,23537.333333333332,25242.333333333332,20088.833333333332,6106.666666666667,6042.333333333333,44181.5,25125.0,11217.5,13872.0,17605.666666666668
2013,28667.333333333332,8880.333333333334,27224.333333333332,25750.0,23832.666666666668,25365.333333333332,20088.833333333332,6731.833333333333,6340.0,43871.333333333336,26133.333333333332,11048.666666666666,14154.5,17417.0
2014,28513.666666666668,9881.0,27393.0,25836.666666666668,24186.0,27018.0,20268.666666666668,7475.0,6877.333333333333,44390.333333333336,27116.666666666668,11290.333333333334,14680.333333333334,17374.666666666668
2015,28722.666666666668,10318.333333333334,27653.666666666668,26030.0,24541.666666666668,27748.333333333332,20760.0,8082.333333333333,7399.0,46749.0,27200.0,11965.333333333334,14593.0,17768.0
2016,30381.0,10943.333333333334,27940.666666666668,26136.666666666668,25359.666666666668,29183.333333333332,21140.0,8343.666666666666,7959.333333333333,48609.666666666664,28100.0,12325.666666666666,15013.666666666666,18261.666666666668
2017,30539.0,11979.0,28572.333333333332,26453.333333333332,26157.333333333332,30859.666666666668,21722.666666666668,9153.666666666666,8747.666666666666,53900.333333333336,28900.0,12470.0,15532.666666666666,18781.333333333332
2018,31413.0,13176.0,29198.333333333332,27080.0,27231.0,32149.333333333332,22083.333333333332,10074.666666666666,9610.0,49764.666666666664,29366.666666666668,13300.0,16622.333333333332,19326.333333333332
2019,32321.333333333332,14167.333333333334,29837.0,27713.333333333332,28421.333333333332,27432.474358974356,20371.67521367521,10862.666666666666,10782.666666666666,50928.0,31533.333333333332,14278.0,17326.0,20382.0
2020,27697.64285714285,9106.130952380952,29769.333333333332,25867.097222222223,24673.899999999998,27432.474358974356,20371.67521367521,11776.666666666666,6808.440476190476,44448.58333333333,32200.0,11847.0,14532.035714285712,17942.0
