Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,-6965.333333333333,-903.1666666666666,-6408.0,-4306.541666666667,-7391.461111111112,-4368.0,-5357.666666666667,-867.5,-832.5,-9110.333333333334,-11197.0,-2590.5,-3069.5,-2321.6666666666665
2007,-7652.0,-1097.5,-6692.0,-4306.541666666667,-7391.461111111112,-4406.166666666667,-5917.333333333333,-1195.8333333333333,-844.8333333333334,-9330.0,-11473.0,-2578.1666666666665,-3295.5,-2363.3333333333335
2008,-8151.666666666667,-1187.1666666666667,-6893.833333333333,-3449.3333333333335,-6863.0,-4232.666666666667,-5728.555555555556,-1431.6666666666667,-964.0,-10159.666666666666,-12051.0,-2452.0,-3535.6666666666665,-2956.6666666666665
2009,-8242.666666666666,-1054.1666666666667,-6599.5,-3747.5,-9060.5,-4560.666666666667,-6090.666666666667,-1178.1666666666667,-839.6666666666666,-10045.166666666666,-11997.0,-2460.3333333333335,-3397.1666666666665,-2941.3333333333335
2010,-8079.333333333333,-1103.1666666666667,-6809.5,-3911.0,-9318.5,-4740.166666666667,-6238.666666666667,-1096.5,-693.6666666666666,-10127.333333333334,-10760.0,-2621.3333333333335,-3417.3333333333335,-3038.6666666666665
2011,-8415.0,-1265.1666666666667,-7129.333333333333,-4099.0,-7446.2,-4910.0,-6316.333333333333,-1236.1666666666667,-733.3333333333334,-11111.666666666666,-10050.0,-2884.3333333333335,-3395.0,-2996.6666666666665
2012,-8666.333333333334,-1343.8333333333333,-7422.666666666667,-4271.666666666667,-6098.0,-5504.5,-6554.5,-1308.8333333333333,-801.1666666666666,-11769.166666666666,-10987.5,-2444.6666666666665,-3296.5,-2980.6666666666665
2013,-9248.0,-1463.0,-7328.0,-4426.666666666667,-6190.333333333333,-5898.5,-6492.0,-1378.3333333333333,-910.3333333333334,-12167.833333333334,-9400.0,-3140.6666666666665,-3234.3333333333335,-3013.6666666666665
2014,-9230.333333333334,-1477.3333333333333,-7649.333333333333,-4500.0,-6355.0,-5740.666666666667,-6508.333333333333,-1509.0,-967.6666666666666,-12611.0,-9716.666666666666,-3238.3333333333335,-3475.6666666666665,-3122.6666666666665
2015,-9800.666666666666,-1615.0,-7767.333333333333,-4433.333333333333,-6719.0,-6061.333333333333,-6574.333333333333,-1626.3333333333333,-1061.3333333333333,-8344.666666666666,-9866.666666666666,-3575.6666666666665,-3476.0,-3045.3333333333335
2016,-9547.666666666666,-1691.0,-7731.666666666667,-4466.666666666667,-6981.333333333333,-5954.666666666667,-6652.333333333333,-1713.0,-1174.6666666666667,-9238.666666666666,-10066.666666666666,-3549.3333333333335,-3635.6666666666665,-3109.3333333333335
2017,-9510.333333333334,-1860.0,-7585.0,-4513.333333333333,-7422.666666666667,-7618.333333333333,-6809.666666666667,-1946.0,-1220.0,-4657.666666666667,-10866.666666666666,-3562.3333333333335,-3818.0,-3356.0
2018,-9819.333333333334,-1428.0,-7629.333333333333,-4966.666666666667,-7817.0,-7688.0,-6941.333333333333,-2042.6666666666667,-1438.6666666666667,-15430.666666666666,-10933.333333333334,-3742.0,-4137.0,-3476.0
2019,-10605.0,-2069.6666666666665,-7896.333333333333,-4893.333333333333,-8426.0,-5514.128205128205,-6321.6709401709395,-2161.0,-3407.0,-14525.0,-11433.333333333334,-4099.0,-4406.333333333333,-3727.3333333333335
2020,-8852.404761904761,-1397.0119047619048,-7953.666666666667,-4306.541666666667,-7391.461111111112,-5514.128205128205,-6321.6709401709395,-2371.0,-1134.9166666666665,-10616.345238095239,-11466.666666666666,-3067.047619047619,-3542.119047619048,-3032.095238095238
