Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,11820.333333333334,1548.0,2638.6666666666665,12606.85185185185,9426.433333333332,9851.333333333334,8538.0,1119.0,1205.3333333333333,17306.666666666668,7819.69696969697,4342.333333333333,4762.0,4896.0
2007,11240.333333333334,1828.0,2603.0,12606.85185185185,9426.433333333332,10867.333333333334,9060.0,1301.0,1562.6666666666667,17707.666666666668,7819.69696969697,4417.666666666667,5028.333333333333,5196.666666666667
2008,12050.0,2254.0,2653.3333333333335,12606.85185185185,8163.0,11977.0,9304.333333333334,1686.3333333333333,2055.6666666666665,19664.666666666668,7819.69696969697,4460.0,5372.666666666667,6188.666666666667
2009,12730.666666666666,2516.6666666666665,2736.6666666666665,12606.85185185185,9426.433333333332,12564.666666666666,9681.666666666666,2119.3333333333335,2100.0,20379.666666666668,7819.69696969697,4735.666666666667,5719.0,6683.0
2010,13253.333333333334,2478.3333333333335,2794.6666666666665,12606.85185185185,9426.433333333332,12053.0,9834.333333333334,2218.3333333333335,2017.6666666666667,20947.0,7200.0,4850.333333333333,5934.666666666667,6830.0
2011,13408.333333333334,2546.0,2798.0,11556.666666666666,8785.666666666666,11730.333333333334,10005.0,2105.3333333333335,2020.0,21579.0,7350.0,5276.666666666667,6166.666666666667,7062.333333333333
2012,13742.333333333334,2707.0,2788.6666666666665,12045.0,8849.0,12275.0,10177.666666666666,2114.0,2206.3333333333335,22931.666666666668,7450.0,5252.666666666667,6017.666666666667,7481.333333333333
2013,14615.0,2869.6666666666665,2914.6666666666665,12403.333333333334,9057.0,11843.0,10300.333333333334,2202.6666666666665,2130.3333333333335,23721.666666666668,7650.0,5539.333333333333,6095.0,7668.333333333333
2014,14785.666666666666,2834.0,2926.6666666666665,12616.666666666666,9224.0,12140.666666666666,10466.0,2301.3333333333335,2169.3333333333335,23916.0,7833.333333333333,5520.333333333333,6137.333333333333,7545.333333333333
2015,15004.0,3170.0,3002.0,12743.333333333334,9304.0,12273.666666666666,10643.0,2404.3333333333335,2285.6666666666665,23732.333333333332,7933.333333333333,6056.666666666667,6067.666666666667,7584.666666666667
2016,15298.333333333334,3433.0,2904.0,12840.0,9785.333333333334,11756.666666666666,10804.333333333334,2529.6666666666665,2341.3333333333335,25214.0,8000.0,6052.666666666667,6186.666666666667,7575.666666666667
2017,15239.666666666666,3596.6666666666665,2823.0,12953.333333333334,10042.0,11893.0,11151.666666666666,2622.0,2536.0,26050.0,8000.0,5967.0,6279.0,7717.333333333333
2018,15815.0,3879.3333333333335,2831.6666666666665,13073.333333333334,10362.0,13037.0,11430.333333333334,2874.6666666666665,2867.6666666666665,27292.0,8000.0,6173.666666666667,6434.333333333333,8030.666666666667
2019,16320.0,4300.0,2753.0,13230.0,10692.333333333334,11866.358974358976,10107.435897435898,3082.0,3106.0,28602.666666666668,8133.333333333333,6447.0,6636.0,8569.666666666666
2020,13951.642857142857,2854.333333333333,2908.6666666666665,12606.85185185185,9426.433333333332,11866.358974358976,10107.435897435898,3473.6666666666665,2186.0,22788.928571428576,8466.666666666666,5363.714285714285,5916.928571428571,7073.54761904762
