Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,665.3333333333334,38.333333333333336,1566.0,,,1894.3333333333333,841.3333333333334,22.0,42.666666666666664,2358.6666666666665,,249.66666666666666,164.66666666666666,560.3333333333334
2007,1075.3333333333333,59.666666666666664,1934.0,,,1624.6666666666667,1044.3333333333333,52.0,116.66666666666667,2515.6666666666665,,338.3333333333333,235.33333333333334,585.0
2008,915.3333333333334,90.33333333333333,1999.6666666666667,,1765.6666666666667,1005.6666666666666,1017.3333333333334,74.33333333333333,224.0,1696.6666666666667,,355.3333333333333,340.6666666666667,1699.3333333333333
2009,1016.3333333333334,73.66666666666667,1881.0,,,907.6666666666666,981.6666666666666,39.666666666666664,104.33333333333333,2112.6666666666665,,402.0,289.0,1705.3333333333333
2010,1114.6666666666667,50.333333333333336,1920.0,,,752.3333333333334,1099.3333333333333,16.666666666666668,98.33333333333333,2101.3333333333335,1500.0,381.0,297.3333333333333,1498.6666666666667
2011,1417.0,47.666666666666664,2198.3333333333335,3890.0,1818.6666666666667,960.0,1288.3333333333333,48.666666666666664,80.33333333333333,2861.3333333333335,1583.3333333333333,413.0,327.0,1501.3333333333333
2012,1083.0,110.33333333333333,2258.6666666666665,3841.6666666666665,1687.0,931.6666666666666,1291.3333333333333,49.333333333333336,85.0,3327.6666666666665,1733.3333333333333,512.3333333333334,323.3333333333333,1487.0
2013,1353.6666666666667,127.0,2215.6666666666665,3593.3333333333335,1743.0,1071.6666666666667,1276.6666666666667,59.666666666666664,110.33333333333333,2794.0,1533.3333333333333,516.6666666666666,520.3333333333334,1384.6666666666667
2014,1353.0,179.66666666666666,2317.3333333333335,3396.6666666666665,1727.6666666666667,938.0,1088.0,68.0,117.66666666666667,2693.0,2116.6666666666665,563.3333333333334,510.6666666666667,1364.0
2015,1459.0,163.33333333333334,2361.6666666666665,3316.6666666666665,1805.6666666666667,945.0,1102.3333333333333,95.33333333333333,119.66666666666667,2811.3333333333335,1500.0,516.0,552.3333333333334,1178.6666666666667
2016,1413.0,223.0,2475.0,3120.0,1871.6666666666667,1004.0,1105.0,72.33333333333333,173.0,2950.0,1666.6666666666667,559.0,417.6666666666667,1087.6666666666667
2017,1364.3333333333333,226.66666666666666,2579.6666666666665,3060.0,1940.3333333333333,991.6666666666666,1139.0,131.33333333333334,243.0,2181.3333333333335,1666.6666666666667,549.0,441.0,1093.3333333333333
2018,1401.6666666666667,513.0,2623.0,3280.0,1946.0,1044.0,1056.6666666666667,205.33333333333334,295.0,2758.3333333333335,1900.0,595.6666666666666,466.0,1092.0
2019,1609.6666666666667,564.3333333333334,2881.6666666666665,3246.6666666666665,2190.6666666666665,,,223.66666666666666,434.0,2783.3333333333335,3100.0,515.0,713.3333333333334,1146.3333333333333
2020,,,2530.0,,,,,285.6666666666667,,,2700.0,,,
