Year,Country,Measure,Age,Value
2007,Austria,GINI,TOT,0.284
2008,Austria,GINI,TOT,0.28
2009,Austria,GINI,TOT,0.289
2010,Austria,GINI,TOT,0.28
2011,Austria,GINI,TOT,0.281
2012,Austria,GINI,TOT,0.276
2013,Austria,GINI,TOT,0.28
2014,Austria,GINI,TOT,0.274
2015,Austria,GINI,TOT,0.275
2016,Austria,GINI,TOT,0.284
2017,Austria,GINI,TOT,0.275
2018,Austria,GINI,TOT,0.28
2019,Austria,GINI,TOT,0.274
2007,Austria,CPI2010,TOT,94.6792
2008,Austria,CPI2010,TOT,97.724
2009,Austria,CPI2010,TOT,98.2188
2010,Austria,CPI2010,TOT,100.00
2011,Austria,CPI2010,TOT,103.2866
2012,Austria,CPI2010,TOT,105.854
2013,Austria,CPI2010,TOT,107.9712
2014,Austria,CPI2010,TOT,109.705
2015,Austria,CPI2010,TOT,110.6886
2016,Austria,CPI2010,TOT,111.6755
2017,Austria,CPI2010,TOT,113.9997
2018,Austria,CPI2010,TOT,116.2779
2019,Austria,CPI2010,TOT,118.058
2007,Austria,PVTAA1,TOT,0.097
2008,Austria,PVTAA1,TOT,0.098
2009,Austria,PVTAA1,TOT,0.11
2010,Austria,PVTAA1,TOT,0.1
2011,Austria,PVTAA1,TOT,0.092
2012,Austria,PVTAA1,TOT,0.104
2013,Austria,PVTAA1,TOT,0.104
2014,Austria,PVTAA1,TOT,0.108
2015,Austria,PVTAA1,TOT,0.096
2016,Austria,PVTAA1,TOT,0.115
2017,Austria,PVTAA1,TOT,0.115
2018,Austria,PVTAA1,TOT,0.096
2019,Austria,PVTAA1,TOT,0.13
2007,Austria,ECTOTAL,TOT,20975.00
2008,Austria,ECTOTAL,TOT,22023.00
2009,Austria,ECTOTAL,TOT,22102.00
2010,Austria,ECTOTAL,TOT,21568.00
2011,Austria,ECTOTAL,TOT,22323.00
2012,Austria,ECTOTAL,TOT,22998.00
2013,Austria,ECTOTAL,TOT,24055.00
2014,Austria,ECTOTAL,TOT,23962.00
2015,Austria,ECTOTAL,TOT,24385.00
2016,Austria,ECTOTAL,TOT,25642.00
2017,Austria,ECTOTAL,TOT,25962.00
2018,Austria,ECTOTAL,TOT,26452.00
2019,Austria,ECTOTAL,TOT,27585.00
2007,Austria,TRRSSCTOTAL,TOT,7689.00
2008,Austria,TRRSSCTOTAL,TOT,8308.00
2009,Austria,TRRSSCTOTAL,TOT,8841.00
2010,Austria,TRRSSCTOTAL,TOT,9252.00
2011,Austria,TRRSSCTOTAL,TOT,9197.00
2012,Austria,TRRSSCTOTAL,TOT,9349.00
