;Title;Number of review;Catagory;Reveiw Comment;Popular food;Online Order;n_Online Order
0;All Stars Sports Bar & Grill;21;Bar, Pub;“The fries were terrific also, hot crisp...”;fries;Yes;1
1;Olio e Piu;2,998;Italian, Pizza;“I love the food and our server Maria!”;filet mignon;Yes;1
2;Boucherie West Village;1,465;French, Steakhouse;“The filet mignon was impeccable and the mussels and steak tartare were also v...”;lobster;Yes;1
3;Club A Steakhouse;4,413;American, Steakhouse;“My seafood cocktail had wonderful large lump crabmeat, delicious lobster and...”;cacio e pepe;Yes;1
4;Piccola Cucina Estiatorio;403;Italian, Sicilian;“penne al pomodoro and bucatini cacio e pepe were delicious.”;mussels;Yes;1
5;Boucherie Union Square;1,325;French, Steakhouse;“Highly recommend the onion soup, mussels and french fries.”;pizza;Yes;1
6;KOBA Korean Bbq;5;Asian, Korean;"“Great food ; good price”";French Onion Soup;Yes;1
7;Katherine;111;Italian;“Best cocktails”;mussels;Yes;1
8;Bleecker Street Pizza;1,725;Italian, Pizza;“Worth travelling over 5000 miles for”;burger;Yes;1
9;Numero 28 Pizzeria;1,194;Italian, Pizza;“Incredible Italian, perfect pizza, top...”;tikka masala;Yes;1
10;SottoCasa Pizzeria;430;Pizza, Neapolitan;“Splendid pizza”;crispy duck;Yes;1
11;Los Tacos No. 1;708;Mexican, Latin;“Excellent”;breakfast sandwich;Yes;1
12;Quality Bistro;67;French, American;“We had French Onion Soup, which was delicious.”;Arancini;Yes;1
13;The Consulate;247;French, American;“... food is great, especially the mussels, they were so good and fresh!! Abso...”;lamb;Yes;1
14;Petite Boucherie;635;French;“We loved the charcuterie board, the burger, and of course the onion soup and...”;mussels;Yes;1
15;Spice Symphony;2,785;Indian, Healthy;“The chicken tikka masala is my favorite...”;ceviche;Yes;1
16;Mei Jin Ramen;178;Japanese, Asian;“Good ramen, no frills”;Cod;Yes;1
17;Bua Thai Ramen & Robata Grill;448;Thai, Sushi;“The wings and crispy duck fried rice were by far our favorite!”;beef;Yes;1
18;Famous Amadeus Pizza;297;Quick Bites, Italian;“Delicious”;Bolognese;Yes;1
19;Bagels & Schmear;264;American, Cafe;“... the breakfast sandwich’s and of cou...”;Soup;Yes;1
20;Piccola Cucina Osteria;2,710;Italian, Sicilian;“Buratta, Arancini, bucatini, lasagna, everything was delicious.”;nachos;Yes;1
21;Loi Estiatorio;636;Mediterranean, Greek;“The fish is fresh and moist and the lamb is superb.”;Steak;Yes;1
22;La Grande Boucherie;1,162;French, Steakhouse;“Highly recommend the branzino, ravioli, and mussels.”;chicken piccata;Yes;1
23;K Rico Steakhouse;3,486;American, Steakhouse;“We adults devoured the ceviche and octopus enjoying g every bite!!!!….mmmmmmm...”;french toast;Yes;1
24;Lezzet Mediterranean Turkish Restaurant;17;Mediterranean, Turkish;“Very Authentic & Delicious”;ribeye;Yes;1
25;Jungsik;289;Asian, Korean;“... Korean cuisine, for example Sea Urchin Bibimbab or Black Cod with Clam Foam.”;No;Yes;1
26;Pure Thai Cookhouse;1,516;Asian, Thai;“Chicken satay buns to start followed by prawn pad, Thai, and a fantastic beef...”;No;Yes;1
27;Spice Symphony;224;Indian, Asian;“Excellent food”;No;Yes;1
28;Scalini Fedeli;446;Italian;“The others had the Bolognese followed by the pork chop dinner.”;No;Yes;1
29;Kuu Ramen;223;Japanese, Asian;“Soup is slightly salty but pork and the noodles inside is amazing.”;No;Yes;1
30;Tangy Noodle;3;Chinese, Asian;“Great quality for the price!”;No;Yes;1
31;Bill's Bar & Burger;1,408;American, Bar;“We started with the loaded nachos.”;No;Yes;1
32;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;No;Yes;1
33;Patsy's Italian Restaurant;5,149;Italian, Neapolitan;“I had chicken piccata”;No;No;0
34;Bill's Bar & Burger;3,896;American, Bar;“Casual Dinner”;No;No;0
35;Jams, 6th Avenue, New York, NY, USA;619;American;“Best brunch - fluffiest french toast!”;No;No;0
36;Benjamin Steakhouse;2,490;Seafood, Soups;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;No;No;0
37;Benjamin Steakhouse;2,490;Seafood, Soups;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;ribeye;Yes;1
38;IL Punto Ristorante;1,585;Italian;“We were given a complimentary pistachio tiramisu that was light, fluffy, crun...”;tiramisu;Yes;1
39;San Carlo Osteria Piemonte;748;Italian, Mediterranean;“Was very pleased with the duck entree.”;duck;Yes;1
40;B Side Pizzeria;527;Italian, Pizza;“... pizza, kale salad, rich chocolate p...”;kale salad;Yes;1
41;Dos Caminos;938;Mexican, Latin;“Taco salad”;salad;Yes;1
42;NY Pizza Suprema;1,337;Italian, Pizza;“What a NYC Pizzeria Should Be”;Steak;Yes;1
43;Balzem;100;Wine Bar, Mediterranean;“Amazing!!!”;Lobster;Yes;1
44;Buenos Aires;472;Steakhouse, Latin;“Best Steak and Vibe in the City”;risotto;Yes;1
45;Daniel;3,371;French;“... stand out dishes were the Maine Lobster Salad “ Chaud-Froid” , the Maine ...”;steak tartare;Yes;1
46;Craft;1,028;American;“Best risotto we had ever had in our lives thus far.”;band;Yes;1
47;Song E Napule Pizzeria & Trattoria;408;Italian, Pizza;“Loved it small cozy and delicious”;rice;Yes;1
48;Johny's Luncheonette;438;American, Diner;“Great authentic American breakfast kitchen”;fries;Yes;1
49;Brickyard craft kitchen & beer;2,131;American;“Our favorites were the flatbread, steak tartare and chicken.”;Duck;Yes;1
50;The Modern;502;Contemporary, American;“... we enjoyed the performance of Hamilton Leithauser and his back up band.”;Ramen;Yes;1
51;Bemelmans Bar;1,049;American, Bar;“... the sushi is fresh and delicious and the fried rice was also excellent.”;croquettes;Yes;1
52;Blue Ribbon Sushi;427;Japanese, Sushi;“The food was also tasty - get the fries.”;coq au vin;Yes;1
53;City Vineyard at Pier 26;412;American, Bar;“... and the Duck Ramen is my favorite..”;dumplings;Yes;1
