Year,Austria,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Portugal,Slovenia,Spain
2006,3.2000000000000006,4.016666666666667,2.966666666666667,,,3.65,4.133333333333333,4.966666666666666,4.266666666666667,3.1666666666666665,3.3,5.166666666666667,3.1333333333333333,4.166666666666667
2007,3.5666666666666664,3.9166666666666665,3.033333333333333,,,3.516666666666667,4.0,5.633333333333333,4.3500000000000005,3.0500000000000003,3.3499999999999996,4.733333333333333,3.15,4.133333333333334
2008,3.3666666666666667,3.783333333333333,3.0500000000000003,3.4,3.4799999999999995,3.483333333333333,4.088888888888889,5.466666666666666,4.516666666666667,3.25,3.4,4.583333333333333,3.1166666666666667,4.3
2009,3.5666666666666664,3.75,3.0,3.5,3.6500000000000004,3.5833333333333335,4.0,4.833333333333333,4.8999999999999995,3.266666666666667,3.4,4.516666666666667,3.233333333333333,4.466666666666666
2010,3.5,3.9166666666666665,3.0833333333333335,3.6,3.6,3.533333333333333,4.166666666666667,4.666666666666667,4.3500000000000005,3.233333333333333,3.2,4.45,3.25,4.5
2011,3.533333333333333,4.05,3.0833333333333335,3.54,3.54,3.75,4.166666666666667,4.55,4.1499999999999995,3.283333333333333,3.0666666666666664,4.466666666666667,3.233333333333333,4.666666666666667
2012,3.4,4.083333333333333,3.016666666666667,3.466666666666667,3.4333333333333336,3.65,4.216666666666667,4.716666666666666,4.416666666666667,3.3000000000000003,3.1625,4.466666666666667,3.3166666666666664,4.5
2013,3.3666666666666667,4.633333333333334,3.0666666666666664,3.4,3.466666666666667,3.6166666666666667,4.3,4.683333333333334,4.45,3.3166666666666664,3.0833333333333335,4.716666666666667,3.3499999999999996,4.9
2014,3.3000000000000003,4.466666666666667,3.033333333333333,3.3333333333333335,3.5666666666666664,3.6,4.433333333333334,4.666666666666667,4.866666666666666,3.233333333333333,3.1166666666666667,4.533333333333334,3.3000000000000003,5.0
2015,3.266666666666667,4.4,3.033333333333333,3.4,3.6,3.533333333333333,4.666666666666667,4.7,5.1,3.8000000000000003,3.1,4.666666666666667,3.266666666666667,4.833333333333333
2016,3.466666666666667,4.2,2.966666666666667,3.3333333333333335,3.6666666666666665,3.6666666666666665,4.433333333333334,4.8999999999999995,5.3999999999999995,4.0,3.1,4.5,3.1333333333333333,4.833333333333333
2017,3.4333333333333336,4.166666666666667,3.033333333333333,3.3000000000000003,3.5666666666666664,3.4333333333333336,4.5,5.066666666666666,5.166666666666667,4.3999999999999995,3.1,4.233333333333333,3.1333333333333333,4.6000000000000005
2018,3.5,4.233333333333333,3.033333333333333,3.3666666666666667,3.5,3.3666666666666667,4.533333333333333,4.933333333333334,4.866666666666667,3.8666666666666667,3.0666666666666664,4.133333333333333,3.1,4.5
2019,3.5,4.0,3.033333333333333,3.3666666666666667,3.6333333333333333,,,4.7,4.6000000000000005,3.6999999999999997,3.1,4.1000000000000005,3.033333333333333,4.533333333333333
2020,,,2.966666666666667,,,,,5.033333333333333,,,3.1,,,
